row_id,dataset,prompt_id,index,model,score,cost,prompt_tokens,completion_tokens
AIME_1|GLM-Z1-9B-0414,AIME,AIME_1,1,GLM-Z1-9B-0414,1,0,215,3014
AIME_1|MiniCPM4.1-8B,AIME,AIME_1,1,MiniCPM4.1-8B,1,0,230,7800
AIME_1|OpenThinker3-7B,AIME,AIME_1,1,OpenThinker3-7B,1,0,235,7019
AIME_1|Llama-3.1-Nemotron-Nano-8B-v1,AIME,AIME_1,1,Llama-3.1-Nemotron-Nano-8B-v1,1,6.55E-05,221,3110
AIME_1|DeepSeek-R1-Distill-Qwen-7B,AIME,AIME_1,1,DeepSeek-R1-Distill-Qwen-7B,1,0.00034984,211,3414
AIME_1|NVIDIA-Nemotron-Nano-9B-v2,AIME,AIME_1,1,NVIDIA-Nemotron-Nano-9B-v2,1,0.00045164,215,2769
AIME_1|gpt-5-chat,AIME,AIME_1,1,gpt-5-chat,1,0.000650625,210,1275
AIME_1|DeepSeek-R1-0528-Qwen3-8B,AIME,AIME_1,1,DeepSeek-R1-0528-Qwen3-8B,1,0.00066836,209,6019
AIME_1|Qwen3-8B,AIME,AIME_1,1,Qwen3-8B,1,0.000944924,214,6793
AIME_1|Intern-S1-mini,AIME,AIME_1,1,Intern-S1-mini,1,0.000953166,276,6837
AIME_1|qwen3-235b-a22b-2507,AIME,AIME_1,1,qwen3-235b-a22b-2507,1,0.0013905,214,1698
AIME_1|deepseek-v3.1-terminus,AIME,AIME_1,1,deepseek-v3.1-terminus,1,0.00139527,201,1341
AIME_1|deepseek-v3-0324,AIME,AIME_1,1,deepseek-v3-0324,1,0.00247088,200,2751
AIME_1|intern-s1,AIME,AIME_1,1,intern-s1,1,0.00266328,363,4811
AIME_1|gemini-2.5-flash,AIME,AIME_1,1,gemini-2.5-flash,1,0.0029906,202,1172
AIME_1|kimi-k2-0905,AIME,AIME_1,1,kimi-k2-0905,1,0.0038615,227,1874
AIME_1|glm-4.6,AIME,AIME_1,1,glm-4.6,1,0.0057674,211,2564
AIME_1|qwen3-235b-a22b-thinking-2507,AIME,AIME_1,1,qwen3-235b-a22b-thinking-2507,1,0.0099852,216,8213
AIME_1|deepseek-r1-0528,AIME,AIME_1,1,deepseek-r1-0528,1,0.0146297,200,6758
AIME_1|gpt-5,AIME,AIME_1,1,gpt-5,1,0.01516125,209,1490
AIME_1|claude-sonnet-4,AIME,AIME_1,1,claude-sonnet-4,1,0.026406,232,1714
AIME_1|gemini-2.5-pro,AIME,AIME_1,1,gemini-2.5-pro,1,0.0758125,202,7556
AIME_1|cogito-v1-preview-llama-8B,AIME,AIME_1,1,cogito-v1-preview-llama-8B,0,0,216,522
AIME_1|glm-4-9b-chat,AIME,AIME_1,1,glm-4-9b-chat,0,0,211,3427
AIME_1|granite-3.3-8b-instruct,AIME,AIME_1,1,granite-3.3-8b-instruct,0,0,276,2227
AIME_1|internlm3-8b-instruct,AIME,AIME_1,1,internlm3-8b-instruct,0,0,220,1498
AIME_1|MiMo-7B-RL-0530,AIME,AIME_1,1,MiMo-7B-RL-0530,0,0,231,2048
AIME_1|Qwen2.5-Coder-7B-Instruct,AIME,AIME_1,1,Qwen2.5-Coder-7B-Instruct,0,0,235,1723
AIME_1|gemma-2-9b-it,AIME,AIME_1,1,gemma-2-9b-it,0,2.29E-05,211,519
AIME_1|Llama-3.1-8B-Instruct,AIME,AIME_1,1,Llama-3.1-8B-Instruct,0,3.00E-05,241,1317
AIME_1|Llama-3.1-8B-UltraMedical,AIME,AIME_1,1,Llama-3.1-8B-UltraMedical,0,3.99E-05,216,1832
AIME_1|DeepHermes-3-Llama-3-8B-Preview,AIME,AIME_1,1,DeepHermes-3-Llama-3-8B-Preview,0,0.00015729,216,1371
AIME_1|Fin-R1,AIME,AIME_1,1,Fin-R1,0,0.000212,235,2026
AIME_2|GLM-Z1-9B-0414,AIME,AIME_2,2,GLM-Z1-9B-0414,1,0,247,4685
AIME_2|MiniCPM4.1-8B,AIME,AIME_2,2,MiniCPM4.1-8B,1,0,244,23477
AIME_2|OpenThinker3-7B,AIME,AIME_2,2,OpenThinker3-7B,1,0,267,14607
AIME_2|Llama-3.1-Nemotron-Nano-8B-v1,AIME,AIME_2,2,Llama-3.1-Nemotron-Nano-8B-v1,1,0.000162575,253,7939
AIME_2|DeepSeek-R1-Distill-Qwen-7B,AIME,AIME_2,2,DeepSeek-R1-Distill-Qwen-7B,1,0.00051162,243,5019
AIME_2|DeepSeek-R1-0528-Qwen3-8B,AIME,AIME_2,2,DeepSeek-R1-0528-Qwen3-8B,1,0.00199086,241,18033
AIME_2|Qwen3-8B,AIME,AIME_2,2,Qwen3-8B,1,0.00211587,246,15270
AIME_2|gpt-5-chat,AIME,AIME_2,2,gpt-5-chat,1,0.002553625,242,5077
AIME_2|deepseek-v3.1-terminus,AIME,AIME_2,2,deepseek-v3.1-terminus,1,0.00403594,222,3976
AIME_2|gemini-2.5-flash,AIME,AIME_2,2,gemini-2.5-flash,1,0.0060913,221,2410
AIME_2|qwen3-235b-a22b-2507,AIME,AIME_2,2,qwen3-235b-a22b-2507,1,0.0069297,246,8616
AIME_2|kimi-k2-0905,AIME,AIME_2,2,kimi-k2-0905,1,0.013586,256,6729
AIME_2|glm-4.6,AIME,AIME_2,2,glm-4.6,1,0.0142786,243,6424
AIME_2|deepseek-r1-0528,AIME,AIME_2,2,deepseek-r1-0528,1,0.022449,221,10390
AIME_2|qwen3-235b-a22b-thinking-2507,AIME,AIME_2,2,qwen3-235b-a22b-thinking-2507,1,0.022626,248,18731
AIME_2|gpt-5,AIME,AIME_2,2,gpt-5,1,0.03823125,241,3793
AIME_2|gemini-2.5-pro,AIME,AIME_2,2,gemini-2.5-pro,1,0.15453625,221,15426
AIME_2|cogito-v1-preview-llama-8B,AIME,AIME_2,2,cogito-v1-preview-llama-8B,0,0,248,32520
AIME_2|glm-4-9b-chat,AIME,AIME_2,2,glm-4-9b-chat,0,0,243,554
AIME_2|granite-3.3-8b-instruct,AIME,AIME_2,2,granite-3.3-8b-instruct,0,0,296,1695
AIME_2|internlm3-8b-instruct,AIME,AIME_2,2,internlm3-8b-instruct,0,0,236,1479
AIME_2|MiMo-7B-RL-0530,AIME,AIME_2,2,MiMo-7B-RL-0530,0,0,263,2048
